,no,symbol,return
0,1,ITC,0.08287292817679548
1,2,MTC,0.0718562874251496
2,3,TRUE,0.04201680672268915
3,4,GLOBAL,0.038961038680384474
4,5,CPF,0.038461538461538325
5,6,CPALL,0.03333333333333344
6,7,AOT,0.03292181069958855
7,8,BDMS,0.02752293577981657
8,9,DELTA,0.02215189873417711
9,10,GPSC,0.0201005025125629
10,11,SAWAD,0.019354838779271688
11,12,SCC,0.01845018450184499
12,13,BGRIM,0.018181818181818077
13,14,WHA,0.017021276595744705
14,15,BJC,0.016877637130801704
15,16,MINT,0.016528925619834656
16,17,PTTGC,0.014598540145985384
17,18,ADVANC,0.013761467889908285
18,19,INTUCH,0.013698630136986356
19,20,PTTEP,0.013377926421404673
20,21,TU,0.013157894736842257
21,22,TISCO,0.012690355329949332
22,23,IVL,0.012295081967213184
23,24,TTB,0.011299435028248705
24,25,EGCO,0.007547169811320753
25,26,GULF,0.005747126436781658
26,27,AWC,0.004950495049504955
27,28,BH,0.004149377593360981
28,29,TOP,0.0
29,30,SCGP,0.0
30,31,SCB,0.0
31,32,RATCH,0.0
32,33,KBANK,-0.004098360655737654
33,34,LH,-0.00649350649350644
34,35,COM7,-0.009259259259259411
35,36,HMPRO,-0.009259259259259411
36,37,OR,-0.010928961748633892
37,38,KTB,-0.012269938650306678
38,39,BEM,-0.013513513513513598
39,40,PTT,-0.01449275362318836
40,41,CBG,-0.016181229773462813
41,42,KTC,-0.01666666666666672
42,43,OSP,-0.018604651162790642
43,44,CPN,-0.02281368821292773
44,45,BANPU,-0.023076923076923106
45,46,BBL,-0.024390243902439046
46,47,TLI,-0.03409090909090917
47,48,CRC,-0.05714285714285716
48,49,CCET,-0.07586206896551717
49,50,BTS,-0.12030075187969935
