,no,symbol,return
0,1,TU,0.08695652173913038
1,2,DELTA,0.07086614173228356
2,3,BDMS,0.06730769230769229
3,4,PTT,0.06400000000000006
4,5,CPF,0.06194690265486713
5,6,TRUE,0.05699481865284972
6,7,RATCH,0.05555555555555558
7,8,COM7,0.05208333333333326
8,9,BEM,0.04761904761904767
9,10,BJC,0.04166666666666674
10,11,KTB,0.040935672514619936
11,12,WHA,0.040000000000000036
12,13,ITC,0.03809523809523818
13,14,BH,0.03265306122448974
14,15,INTUCH,0.030959752321981338
15,16,AOT,0.027272727272727337
16,17,TOP,0.025773195876288568
17,18,TTB,0.024539877300613577
18,19,CCET,0.024390243902439046
19,20,CPALL,0.022123893805309658
20,21,ADVANC,0.02083333333333326
21,22,PTTEP,0.020477815699658786
22,23,CBG,0.019920318725099584
23,24,SCB,0.014925373134328401
24,25,BGRIM,0.013513513513513598
25,26,OSP,0.012931034482758674
26,27,CPN,0.009302325581395321
27,28,EGCO,0.0078125
28,29,TLI,0.007407407407407307
29,30,GULF,0.0052631578947368585
30,31,BANPU,0.004366812227074135
31,32,GPSC,0.0
32,33,KBANK,0.0
33,34,KTC,0.0
34,35,BBL,-0.003816793893129722
35,36,TISCO,-0.008219178082191747
36,37,MTC,-0.018181818181818188
37,38,BTS,-0.02010050251256279
38,39,SAWAD,-0.025000000000000022
39,40,LH,-0.02752293577981657
40,41,PTTGC,-0.03703703703703709
41,42,SCC,-0.04611650485436891
42,43,HMPRO,-0.048192771084337394
43,44,CRC,-0.054545454545454564
44,45,IVL,-0.0621468926553671
45,46,AWC,-0.0643274853801169
46,47,MINT,-0.06481481481481477
47,48,OR,-0.06666666666666665
48,49,SCGP,-0.09158878504672896
49,50,GLOBAL,-0.09790209790209792
