,no,symbol,return
0,1,CCET,0.16666666666666652
1,2,BH,0.05752212389380529
2,3,MTC,0.033519553072625774
3,4,GPSC,0.02604166666666674
4,5,INTUCH,0.02464788732394374
5,6,BGRIM,0.01904761904761898
6,7,ADVANC,0.01869158878504673
7,8,BDMS,0.018181818181818077
8,9,GULF,0.016949152542372836
9,10,TU,0.013698630136986356
10,11,EGCO,0.011627906976744207
11,12,KTC,0.011363636363636465
12,13,CPF,0.010582010582010692
13,14,PTTEP,0.010067114093959662
14,15,DELTA,0.00591715976331364
15,16,OR,0.005208333333333481
16,17,KBANK,0.0037878787878788955
17,18,CPN,0.0
18,19,BTS,0.0
19,20,SCB,0.0
20,21,BJC,0.0
21,22,AOT,0.0
22,23,TISCO,0.0
23,24,TTB,0.0
24,25,CPALL,-0.004524886877828038
25,26,SAWAD,-0.006024096583538863
26,27,LH,-0.006249999999999978
27,28,PTTGC,-0.006896551724137945
28,29,BANPU,-0.007518796992481258
29,30,RATCH,-0.007936507936507908
30,31,AWC,-0.009708737864077666
31,32,BEM,-0.012499999999999956
32,33,CRC,-0.012820512820512775
33,34,TOP,-0.014285714285714235
34,35,ITC,-0.014634146341463428
35,36,CBG,-0.01538461538461533
36,37,HMPRO,-0.016528925619834656
37,38,IVL,-0.01869158878504673
38,39,TRUE,-0.019230769230769384
39,40,KTB,-0.021276595744680993
40,41,TLI,-0.021276595744680993
41,42,OSP,-0.02212389380530977
42,43,GLOBAL,-0.024390244149910978
43,44,MINT,-0.025862068965517238
44,45,BBL,-0.029126213592232997
45,46,SCC,-0.030201342281879207
46,47,PTT,-0.035211267605633756
47,48,SCGP,-0.03546099290780147
48,49,WHA,-0.03629032258064513
49,50,COM7,-0.07999999999999996
