,no,symbol,return
0,1,TLI,0.04807692307692313
1,2,TRUE,0.0431034482758621
2,3,KTB,0.039301310043668325
3,4,MINT,0.03238866396761142
4,5,INTUCH,0.025839793281653645
5,6,CCET,0.01948051948051943
6,7,AOT,0.018181818181818077
7,8,GULF,0.017467248908296984
8,9,BH,0.014245014245014342
9,10,BBL,0.009836065573770592
10,11,KTC,0.009756097560975618
11,12,CRC,0.007575757575757569
12,13,BEM,0.00746268656716409
13,14,SAWAD,0.006802721088435382
14,15,KBANK,0.0062893081761006275
15,16,ADVANC,0.0035842293906809264
16,17,SCB,0.0
17,18,CBG,-0.0034965034965035446
18,19,PTTEP,-0.003968253968253954
19,20,CPN,-0.004807692307692291
20,21,MTC,-0.005681818181818232
21,22,PTT,-0.008064516129032251
22,23,TU,-0.008474576271186529
23,24,OR,-0.00877192982456132
24,25,TISCO,-0.010025062656641603
25,26,BDMS,-0.012820512820512664
26,27,SCC,-0.013245033112582738
27,28,CPF,-0.014150943396226467
28,29,TTB,-0.015151515151515138
29,30,BTS,-0.016528925619834656
30,31,BJC,-0.01834862385321112
31,32,SCGP,-0.018750000000000044
32,33,OSP,-0.01935483870967747
33,34,GLOBAL,-0.021390374331550777
34,35,PTTGC,-0.024154589371980673
35,36,IVL,-0.025751072961373467
36,37,RATCH,-0.0267857142857143
37,38,COM7,-0.02714932126696834
38,39,HMPRO,-0.029069767441860517
39,40,LH,-0.03555555555555556
40,41,BANPU,-0.03658536585365846
41,42,ITC,-0.040462427745664664
42,43,CPALL,-0.04761904761904767
43,44,TOP,-0.04854368932038833
44,45,EGCO,-0.05581395348837215
45,46,AWC,-0.05732484076433131
46,47,WHA,-0.06224066390041505
47,48,DELTA,-0.0916334661354582
48,49,GPSC,-0.10655737704918034
49,50,BGRIM,-0.12751677852348997
