,no,symbol,return
0,1,CCET,3.59090909090909
1,2,TRUE,1.1346153846153846
2,3,DELTA,0.6712328767123288
3,4,INTUCH,0.35664335664335667
4,5,GULF,0.3222222222222222
5,6,ADVANC,0.3165137614678899
6,7,TLI,0.19786096256684482
7,8,CPF,0.18134715025906734
8,9,KBANK,0.1561338289962826
9,10,KTB,0.1351351351351351
10,11,KTC,0.12994350282485878
11,12,SCB,0.10849056603773577
12,13,TTB,0.1071428571428572
13,14,SAWAD,0.10662638304190653
14,15,WHA,0.06796116504854366
15,16,ITC,0.056872037914691864
16,17,MTC,0.04347826086956519
17,18,COM7,-0.009433962264150941
18,19,TISCO,-0.01005025125628145
19,20,CPALL,-0.013274336283185861
20,21,BBL,-0.02893890675241162
21,22,AWC,-0.03296703296703296
22,23,AOT,-0.04417670682730923
23,24,RATCH,-0.055118110236220486
24,25,OSP,-0.06726457399103136
25,26,CBG,-0.07100591715976334
26,27,BJC,-0.09514563106796114
27,28,EGCO,-0.09652509652509655
28,29,IVL,-0.10270270270270276
29,30,BH,-0.10538116591928248
30,31,PTT,-0.10563380281690138
31,32,BDMS,-0.11711711711711714
32,33,BEM,-0.11801242236024856
33,34,TU,-0.12162162162162171
34,35,MINT,-0.12605042016806722
35,36,BANPU,-0.13043478260869568
36,37,GLOBAL,-0.13952338743954362
37,38,CRC,-0.16049382716049387
38,39,CPN,-0.16788321167883213
39,40,BTS,-0.17006802721088432
40,41,PTTEP,-0.21192052980132448
41,42,HMPRO,-0.2295081967213114
42,43,GPSC,-0.24257425742574257
43,44,BGRIM,-0.3035714285714286
44,45,OR,-0.31794871794871793
45,46,PTTGC,-0.36623376623376624
46,47,LH,-0.3765432098765432
47,48,SCC,-0.4455445544554455
48,49,SCGP,-0.45931034482758615
49,50,TOP,-0.4694835680751174
