,no,symbol,return
0,1,CCET,0.06611570247933884
1,2,MTC,0.06077348066298338
2,3,SAWAD,0.03888877343115138
3,4,BJC,0.026422764227642226
4,5,SCB,0.018867924528301883
5,6,CPALL,0.012875536480686733
6,7,TRUE,0.0117647058823529
7,8,AOT,0.011406844106463865
8,9,KBANK,0.011363636363636465
9,10,BBL,0.01090909090909098
10,11,COM7,0.010362694300518172
11,12,CPF,0.009852216748768461
12,13,BH,0.007936507936507908
13,14,MINT,0.007633587786259444
14,15,KTB,0.005988023952095967
15,16,TISCO,0.0051679586563306845
16,17,PTTEP,0.0032679738562091387
17,18,KTC,0.0
18,19,LH,0.0
19,20,ITC,0.0
20,21,PTT,0.0
21,22,TLI,0.0
22,23,TTB,0.0
23,24,TU,0.0
24,25,IVL,0.0
25,26,WHA,0.0
26,27,GULF,0.0
27,28,EGCO,0.0
28,29,SCC,-0.004016064257028162
29,30,TOP,-0.0046511627906976605
30,31,GPSC,-0.004950495049504955
31,32,GLOBAL,-0.006211180124223725
32,33,PTTGC,-0.00694444444444442
33,34,CPN,-0.007936507936507908
34,35,BTS,-0.008130081300813163
35,36,BDMS,-0.008547008547008517
36,37,RATCH,-0.00877192982456143
37,38,OSP,-0.00952380952380949
38,39,BEM,-0.012048192771084487
39,40,INTUCH,-0.014285714285714235
40,41,ADVANC,-0.014354066985645897
41,42,OR,-0.016216216216216273
42,43,DELTA,-0.017123287671232834
43,44,BANPU,-0.018018018018017945
44,45,CBG,-0.01831501831501836
45,46,BGRIM,-0.01869158878504673
46,47,AWC,-0.022935779816513846
47,48,HMPRO,-0.028846153846153966
48,49,SCGP,-0.03875968992248058
49,50,CRC,-0.046511627906976716
