,no,symbol,return
0,1,BBL,0.046052631578947345
1,2,IVL,0.03864734299516903
2,3,MTC,0.03608247422680422
3,4,DELTA,0.019704433497536922
4,5,GULF,0.013513513513513598
5,6,GLOBAL,0.013071895424836555
6,7,KBANK,0.012861736334405238
7,8,INTUCH,0.011267605633802802
8,9,GPSC,0.011111111111111072
9,10,WHA,0.009009009009008917
10,11,KTC,0.005555555555555536
11,12,KTB,0.004901960784313708
12,13,BH,0.00366300366300365
13,14,LH,0.0
14,15,SCB,0.0
15,16,HMPRO,0.0
16,17,TRUE,0.0
17,18,TTB,0.0
18,19,ADVANC,0.0
19,20,CBG,0.0
20,21,BEM,0.0
21,22,AOT,-0.0040000000000000036
22,23,EGCO,-0.004048582995951455
23,24,SAWAD,-0.0060240963855421326
24,25,CPN,-0.007692307692307665
25,26,RATCH,-0.0078125
26,27,BDMS,-0.008474576271186418
27,28,OSP,-0.008474576271186529
28,29,CCET,-0.010752688172043001
29,30,TLI,-0.011428571428571344
30,31,CPF,-0.01200000000000001
31,32,BTS,-0.012396694214875992
32,33,BGRIM,-0.012875536480686733
33,34,CRC,-0.015503875968992276
34,35,BANPU,-0.016129032258064613
35,36,CPALL,-0.018939393939393923
36,37,TU,-0.019480519480519543
37,38,TISCO,-0.02010050251256279
38,39,AWC,-0.021621621621621623
39,40,SCC,-0.02429149797570851
40,41,MINT,-0.02608695652173909
41,42,PTTGC,-0.0267857142857143
42,43,COM7,-0.028846153846153855
43,44,BJC,-0.02892561983471076
44,45,OR,-0.029069767441860517
45,46,ITC,-0.029850746268656803
46,47,SCGP,-0.03508771929824561
47,48,PTT,-0.03649635036496346
48,49,PTTEP,-0.03819444444444442
49,50,TOP,-0.06818181818181823
