,no,symbol,return
0,1,SAWAD,0.0700636943424886
1,2,DELTA,0.06593406593406592
2,3,KTB,0.0370370370370372
3,4,ITC,0.02604166666666674
4,5,KTC,0.016759776536312776
5,6,MINT,0.015151515151515138
6,7,BBL,0.010791366906474753
7,8,INTUCH,0.010752688172043001
8,9,AWC,0.010204081632652962
9,10,BTS,0.0092592592592593
10,11,GPSC,0.009132420091324311
11,12,BGRIM,0.008849557522123908
12,13,SCB,0.008733624454148492
13,14,WHA,0.008368200836819994
14,15,TOP,0.004237288135593209
15,16,ADVANC,0.0
16,17,KBANK,0.0
17,18,TU,0.0
18,19,TISCO,0.0
19,20,TTB,0.0
20,21,CPN,-0.00390625
21,22,EGCO,-0.004347826086956497
22,23,TLI,-0.005347593582887611
23,24,GULF,-0.005555555555555536
24,25,TRUE,-0.006249999999999978
25,26,PTTGC,-0.006369426751592355
26,27,LH,-0.007092198581560294
27,28,PTT,-0.007299270072992692
28,29,CBG,-0.0078125
29,30,IVL,-0.008130081300813163
30,31,BDMS,-0.008620689655172376
31,32,RATCH,-0.00877192982456143
32,33,HMPRO,-0.009090909090909038
33,34,OSP,-0.009803921568627416
34,35,AOT,-0.011363636363636354
35,36,GLOBAL,-0.0117647058823529
36,37,PTTEP,-0.012987012987012991
37,38,COM7,-0.015789473684210575
38,39,MTC,-0.016042780748663055
39,40,SCGP,-0.01680672268907568
40,41,BH,-0.017316017316017285
41,42,BEM,-0.018292682926829062
42,43,CRC,-0.020134228187919434
43,44,CPF,-0.021276595744680993
44,45,OR,-0.021739130434782483
45,46,BANPU,-0.026315789473684292
46,47,CPALL,-0.03555555555555556
47,48,BJC,-0.04313725490196085
48,49,SCC,-0.05970149253731338
49,50,CCET,-0.08593750000000011
