,all_match,all_win,all_draw,all_loss,score
ADVANC,6,4,1,1,13
AOT,6,2,0,4,6
AWC,6,2,0,4,6
BANPU,6,1,0,5,3
BBL,6,3,1,2,10
BDMS,6,2,1,3,7
BEM,6,1,2,3,5
BGRIM,6,1,0,5,3
BH,6,2,0,4,6
BJC,6,2,0,4,6
BTS,6,2,0,4,6
CBG,6,2,0,4,6
CCET,6,3,0,3,9
COM7,6,0,0,6,0
CPALL,6,2,0,4,6
CPF,6,1,1,4,4
CPN,6,1,1,4,4
CRC,6,3,0,3,9
DELTA,6,3,0,3,9
EGCO,6,2,2,2,8
GLOBAL,6,0,0,6,0
GPSC,6,2,0,4,6
GULF,6,5,0,1,15
HMPRO,6,2,1,3,7
INTUCH,6,4,0,2,12
ITC,6,1,0,5,3
IVL,6,2,0,4,6
KBANK,6,3,0,3,9
KTB,6,5,0,1,15
KTC,6,4,1,1,13
LH,6,2,1,3,7
MINT,6,4,0,2,12
MTC,6,2,0,4,6
OR,6,2,1,3,7
OSP,6,2,1,3,7
PTT,6,2,1,3,7
PTTEP,6,2,0,4,6
PTTGC,6,1,0,5,3
RATCH,6,1,0,5,3
SAWAD,6,2,0,4,6
SCB,6,5,1,0,16
SCC,6,2,0,4,6
SCGP,6,0,1,5,1
TISCO,6,2,0,4,6
TLI,6,2,0,4,6
TOP,6,2,0,4,6
TRUE,6,4,0,2,12
TTB,6,2,1,3,7
TU,6,1,3,2,6
WHA,6,2,0,4,6
