,no,symbol,return
0,1,SAWAD,0.16296296296296298
1,2,HMPRO,0.08982035928143706
2,3,BJC,0.08252427184466016
3,4,SCGP,0.07905982905982922
4,5,COM7,0.0717488789237668
5,6,BBL,0.06343283582089554
6,7,OR,0.06164383561643838
7,8,GULF,0.05759162303664911
8,9,CPALL,0.05263157894736836
9,10,BDMS,0.04761904761904767
10,11,CRC,0.04587155963302747
11,12,GLOBAL,0.04195804195804187
12,13,TLI,0.040000000000000036
13,14,BANPU,0.03883495145631044
14,15,KBANK,0.032490974729241895
15,16,GPSC,0.03205128205128216
16,17,OSP,0.03139013452914785
17,18,PTTGC,0.030612244897959107
18,19,KTC,0.030487804878048808
19,20,AWC,0.030487804878048808
20,21,AOT,0.030172413793103425
21,22,ADVANC,0.024896265560165887
22,23,TISCO,0.024324324324324298
23,24,SCB,0.023474178403755763
24,25,IVL,0.021739130434782705
25,26,KTB,0.021739130434782705
26,27,MTC,0.016759776536312776
27,28,EGCO,0.014563106796116498
28,29,SCC,0.014423076923076872
29,30,TTB,0.011111111111111072
30,31,TRUE,0.009803921568627638
31,32,WHA,0.009803921568627638
32,33,BGRIM,0.009708737864077666
33,34,MINT,0.009615384615384581
34,35,BTS,0.00952380952380949
35,36,LH,0.0092592592592593
36,37,CPF,0.00406504065040636
37,38,PTT,0.0
38,39,BH,0.0
39,40,RATCH,0.0
40,41,CPN,0.0
41,42,CCET,-0.005617977528089901
42,43,PTTEP,-0.00694444444444442
43,44,DELTA,-0.009708737864077666
44,45,INTUCH,-0.011834319526627168
45,46,TOP,-0.023474178403755874
46,47,CBG,-0.02898550724637683
47,48,TU,-0.032258064516129004
48,49,BEM,-0.044025157232704504
49,50,ITC,-0.059360730593607136
