,no,symbol,return
0,1,GPSC,0.05844155844155852
1,2,MTC,0.05624999999999991
2,3,PTTEP,0.052816901408450745
3,4,TRUE,0.05027932960893877
4,5,BGRIM,0.04166666666666652
5,6,TOP,0.04040404040404044
6,7,ADVANC,0.034782608695652195
7,8,CPN,0.02764976958525356
8,9,CPALL,0.022222222222222143
9,10,BH,0.02066115702479343
10,11,RATCH,0.0183486238532109
11,12,LH,0.018018018018018056
12,13,DELTA,0.015075376884422065
13,14,CBG,0.011627906976744207
14,15,EGCO,0.010309278350515427
15,16,WHA,0.009708737864077666
16,17,PTT,0.007874015748031482
17,18,KBANK,0.007575757575757569
18,19,IVL,0.005347593582887722
19,20,OR,0.0
20,21,SCGP,0.0
21,22,TU,0.0
22,23,GULF,0.0
23,24,HMPRO,0.0
24,25,TISCO,-0.0027100271002710175
25,26,INTUCH,-0.003012048192771122
26,27,OSP,-0.00421940928270037
27,28,SCC,-0.004587155963302725
28,29,SCB,-0.004854368932038833
29,30,TTB,-0.00591715976331364
30,31,KTC,-0.006329113924050667
31,32,BEM,-0.006451612903225823
32,33,TLI,-0.006896551724137945
33,34,BANPU,-0.0080971659919028
34,35,BDMS,-0.009615384615384581
35,36,BJC,-0.009756097560975618
36,37,COM7,-0.009756097560975618
37,38,BBL,-0.011029411764705843
38,39,GLOBAL,-0.012903225806451535
39,40,KTB,-0.016759776536312665
40,41,AOT,-0.01754385964912286
41,42,CPF,-0.021276595744680882
42,43,ITC,-0.0358744394618834
43,44,MINT,-0.042735042735042694
44,45,AWC,-0.0434782608695653
45,46,SAWAD,-0.04580152671755722
46,47,PTTGC,-0.04629629629629628
47,48,CRC,-0.06299212598425197
48,49,BTS,-0.06451612903225812
49,50,CCET,-0.0736842105263158
