,no,symbol,return
0,1,BTS,0.07017543859649122
1,2,PTTEP,0.056291390728476776
2,3,PTT,0.029629629629629672
3,4,CPALL,0.02752293577981657
4,5,TRUE,0.025641025641025772
5,6,IVL,0.022267206477732726
6,7,BH,0.017699115044247815
7,8,SCGP,0.017094017094017033
8,9,OR,0.016574585635358963
9,10,SAWAD,0.011834319657574977
10,11,BGRIM,0.009090909090909038
11,12,TOP,0.008620689655172376
12,13,LH,0.006802721088435382
13,14,PTTGC,0.006329113924050667
14,15,GLOBAL,0.005988023952095967
15,16,AWC,0.004830917874396157
16,17,MINT,0.0
17,18,KBANK,0.0
18,19,AOT,0.0
19,20,CPN,-0.0039525691699604515
20,21,EGCO,-0.004347826086956497
21,22,GPSC,-0.004739336492891044
22,23,ADVANC,-0.004878048780487809
23,24,ITC,-0.004901960784313597
24,25,TISCO,-0.005025125628140725
25,26,CRC,-0.007092198581560294
26,27,BJC,-0.0080971659919028
27,28,BDMS,-0.00877192982456143
28,29,RATCH,-0.008928571428571397
29,30,HMPRO,-0.009433962264150941
30,31,BBL,-0.010791366906474864
31,32,KTC,-0.010928961748633892
32,33,CPF,-0.01098901098901095
33,34,BEM,-0.012195121951219523
34,35,SCB,-0.013157894736842146
35,36,TU,-0.013698630136986245
36,37,INTUCH,-0.014440433212996373
37,38,COM7,-0.015544041450777257
38,39,CCET,-0.016260162601625994
39,40,TLI,-0.016574585635359185
40,41,GULF,-0.017142857142857126
41,42,KTB,-0.017751479289940697
42,43,SCC,-0.019305019305019266
43,44,CBG,-0.019841269841269882
44,45,DELTA,-0.020134228187919434
45,46,WHA,-0.020746887966805128
46,47,OSP,-0.028846153846153966
47,48,TTB,-0.03296703296703296
48,49,BANPU,-0.03571428571428559
49,50,MTC,-0.03703703703703709
