,no,symbol,return
0,1,ITC,0.06770833333333348
1,2,COM7,0.04371584699453557
2,3,LH,0.04225352112676073
3,4,AWC,0.04060913705583746
4,5,MTC,0.032786885245901676
5,6,OSP,0.025252525252525304
6,7,CCET,0.024793388429751984
7,8,TU,0.021126760563380254
8,9,DELTA,0.020547945205479534
9,10,SCC,0.019920318725099584
10,11,KTC,0.016666666666666607
11,12,KBANK,0.016393442622950838
12,13,MINT,0.01526717557251911
13,14,PTTEP,0.013245033112582849
14,15,TOP,0.012765957446808418
15,16,KTB,0.011904761904761862
16,17,BH,0.009009009009008917
17,18,BJC,0.008264462809917328
18,19,CBG,0.007968127490039834
19,20,AOT,0.007692307692307665
20,21,PTT,0.007407407407407307
21,22,SAWAD,0.00595238088690464
22,23,OR,0.00561797752808979
23,24,CPALL,0.004587155963302836
24,25,CPN,0.003984063745019917
25,26,BBL,0.0036101083032491488
26,27,TISCO,0.0025188916876575096
27,28,INTUCH,0.0
28,29,CRC,0.0
29,30,RATCH,0.0
30,31,CPF,0.0
31,32,BDMS,0.0
32,33,BEM,0.0
33,34,BANPU,0.0
34,35,SCB,-0.004366812227074246
35,36,GLOBAL,-0.006024096385542244
36,37,WHA,-0.008333333333333304
37,38,EGCO,-0.008695652173912993
38,39,BTS,-0.00877192982456132
39,40,BGRIM,-0.009009009009009028
40,41,HMPRO,-0.009345794392523366
41,42,TTB,-0.010869565217391353
42,43,ADVANC,-0.014423076923076872
43,44,TLI,-0.016393442622950838
44,45,GULF,-0.016853932584269704
45,46,SCGP,-0.017241379310344862
46,47,PTTGC,-0.019230769230769273
47,48,IVL,-0.02066115702479343
48,49,GPSC,-0.02314814814814814
49,50,TRUE,-0.02564102564102566
