,no,symbol,return
0,1,CCET,0.060109289617486183
1,2,SCC,0.040723981900452566
2,3,TU,0.039735099337748325
3,4,DELTA,0.039024390243902474
4,5,CRC,0.026086956521739202
5,6,ITC,0.025252525252525304
6,7,WHA,0.019230769230769162
7,8,MINT,0.018867924528301883
8,9,OR,0.013071895424836555
9,10,COM7,0.012396694214876103
10,11,CBG,0.011029411764705843
11,12,TISCO,0.010582010582010692
12,13,GULF,0.00995024875621886
13,14,BDMS,0.009090909090909038
14,15,LH,0.008928571428571619
15,16,CPALL,0.008333333333333304
16,17,TOP,0.004739336492890933
17,18,EGCO,0.0046948356807512415
18,19,CPF,0.004081632653061273
19,20,TTB,0.0
20,21,TRUE,0.0
21,22,BH,0.0
22,23,BANPU,0.0
23,24,ADVANC,-0.0040322580645161255
24,25,CPN,-0.004184100418409997
25,26,SAWAD,-0.006535947712418277
26,27,RATCH,-0.008130081300813052
27,28,SCB,-0.0092592592592593
28,29,KBANK,-0.01038062283737029
29,30,TLI,-0.012658227848101333
30,31,BJC,-0.013157894736842146
31,32,BBL,-0.013986013986013957
32,33,INTUCH,-0.014925373134328401
33,34,AOT,-0.016460905349794275
34,35,PTTEP,-0.01736111111111116
35,36,OSP,-0.01754385964912286
36,37,KTC,-0.01764705882352946
37,38,KTB,-0.021390374331550777
38,39,MTC,-0.022346368715083775
39,40,GPSC,-0.024242424242424288
40,41,SCGP,-0.028000000000000025
41,42,PTTGC,-0.029126213592232997
42,43,GLOBAL,-0.0326797385620915
43,44,PTT,-0.03597122302158273
44,45,BTS,-0.036363636363636376
45,46,BEM,-0.037735849056603765
46,47,BGRIM,-0.03809523809523818
47,48,HMPRO,-0.07179487179487176
48,49,AWC,-0.10270270270270276
49,50,IVL,-0.10471204188481675
