,no,symbol,return
0,1,TRUE,0.09999999999999987
1,2,CBG,0.04081632653061229
2,3,TOP,0.03921568627450989
3,4,IVL,0.03508771929824572
4,5,CPF,0.032258064516129004
5,6,SCC,0.02970297029702973
6,7,HMPRO,0.02840909090909083
7,8,INTUCH,0.028132992327365658
8,9,GULF,0.02586206896551735
9,10,CRC,0.022222222222222143
10,11,PTTEP,0.019685039370078705
11,12,CPALL,0.0183486238532109
12,13,OR,0.017094017094017255
13,14,BJC,0.013953488372093092
14,15,AOT,0.01327433628318575
15,16,KTC,0.010000000000000009
16,17,ADVANC,0.007092198581560183
17,18,KTB,0.00454545454545463
18,19,MINT,0.004201680672268893
19,20,LH,0.004166666666666874
20,21,SCB,0.004132231404958775
21,22,OSP,0.0
22,23,TU,0.0
23,24,EGCO,0.0
24,25,TISCO,-0.002525252525252486
25,26,BH,-0.0025974025974025983
26,27,KBANK,-0.006172839506172867
27,28,AWC,-0.006329113924050667
28,29,COM7,-0.008547008547008517
29,30,RATCH,-0.008928571428571397
30,31,TLI,-0.009090909090909038
31,32,TTB,-0.010869565217391353
32,33,BDMS,-0.012552301255229992
33,34,BEM,-0.014598540145985384
34,35,PTT,-0.016000000000000014
35,36,ITC,-0.016949152542372947
36,37,CPN,-0.018779342723004744
37,38,BBL,-0.02588996763754048
38,39,SAWAD,-0.02684563758389258
39,40,GLOBAL,-0.03875968992248058
40,41,MTC,-0.03977272727272729
41,42,WHA,-0.04077669902912617
42,43,GPSC,-0.05303030303030298
43,44,PTTGC,-0.05701754385964919
44,45,BANPU,-0.06422018348623859
45,46,DELTA,-0.06734006734006737
46,47,SCGP,-0.07262569832402221
47,48,BTS,-0.07500000000000007
48,49,BGRIM,-0.1470588235294118
49,50,CCET,-0.17368421052631577
