,no,symbol,return
0,1,TLI,0.14438502673796783
1,2,PTTGC,0.11818181818181817
2,3,ITC,0.08499999999999996
3,4,SCC,0.047413793103448176
4,5,KTC,0.032608695652173836
5,6,SCGP,0.026086956521739202
6,7,BGRIM,0.025974025974025983
7,8,DELTA,0.02336448598130847
8,9,GLOBAL,0.01948051948051943
9,10,OR,0.01754385964912264
10,11,PTT,0.015037593984962516
11,12,INTUCH,0.013661202185792254
12,13,BJC,0.012448132780082943
13,14,EGCO,0.012345679012345734
14,15,AOT,0.011857707509881354
15,16,CPALL,0.011450381679389388
16,17,GPSC,0.010695187165775444
17,18,TRUE,0.009090909090909038
18,19,RATCH,0.007751937984496138
19,20,ADVANC,0.007751937984496138
20,21,CBG,0.006472491909385036
21,22,BEM,0.006250000000000089
22,23,CCET,0.00540540540540535
23,24,LH,0.0
24,25,TOP,0.0
25,26,TISCO,-0.0025706940874036244
26,27,GULF,-0.004405286343612369
27,28,KTB,-0.004830917874396046
28,29,TTB,-0.00512820512820511
29,30,IVL,-0.008163265306122436
30,31,CPF,-0.008298755186722073
31,32,MINT,-0.008695652173912993
32,33,HMPRO,-0.009433962264150941
33,34,SAWAD,-0.0117647058823529
34,35,TU,-0.013513513513513598
35,36,BH,-0.014598540145985384
36,37,CPN,-0.014925373134328401
37,38,BTS,-0.017467248908296984
38,39,SCB,-0.017857142857142905
39,40,WHA,-0.01834862385321112
40,41,AWC,-0.02083333333333337
41,42,OSP,-0.021186440677966045
42,43,BDMS,-0.024193548387096753
43,44,COM7,-0.024793388429751984
44,45,PTTEP,-0.03649635036496346
45,46,BBL,-0.038461538461538436
46,47,BANPU,-0.047945205479452024
47,48,KBANK,-0.05379746835443033
48,49,CRC,-0.059259259259259234
49,50,MTC,-0.0628019323671497
