,no,symbol,return
0,1,CCET,0.07471264367816088
1,2,INTUCH,0.0671641791044777
2,3,BTS,0.0652173913043479
3,4,TU,0.040000000000000036
4,5,KTB,0.0350877192982455
5,6,MTC,0.029239766081871288
6,7,BEM,0.026666666666666616
7,8,DELTA,0.023890784982935065
8,9,ADVANC,0.019323671497584627
9,10,CRC,0.016260162601626105
10,11,TOP,0.014705882352941124
11,12,CPALL,0.013100436681222627
12,13,GULF,0.012578616352201255
13,14,COM7,0.011904761904761862
14,15,CBG,0.01067615658362997
15,16,BH,0.008264462809917328
16,17,MINT,0.008196721311475308
17,18,LH,0.0078125
18,19,SAWAD,0.006329113924050667
19,20,HMPRO,0.005291005291005346
20,21,OSP,0.004347826086956497
21,22,TISCO,0.002564102564102555
22,23,BDMS,0.0
23,24,KTC,0.0
24,25,BJC,0.0
25,26,EGCO,0.0
26,27,TTB,-0.00591715976331364
27,28,GLOBAL,-0.00613496932515345
28,29,PTTEP,-0.006514657980456029
29,30,PTT,-0.007692307692307665
30,31,BGRIM,-0.008196721311475419
31,32,SCC,-0.008438818565400852
32,33,CPN,-0.008620689655172376
33,34,SCB,-0.009478672985781977
34,35,KBANK,-0.011538461538461497
35,36,CPF,-0.013043478260869601
36,37,GPSC,-0.01666666666666672
37,38,ITC,-0.025210084033613467
38,39,BBL,-0.025547445255474477
39,40,RATCH,-0.026548672566371723
40,41,SCGP,-0.02877697841726623
41,42,OR,-0.03370786516853941
42,43,AOT,-0.03515625
43,44,TLI,-0.03529411764705892
44,45,WHA,-0.03571428571428559
45,46,AWC,-0.037234042553191404
46,47,TRUE,-0.039772727272727404
47,48,BANPU,-0.05504587155963303
48,49,PTTGC,-0.05755395683453235
49,50,IVL,-0.0663716814159292
