,no,symbol,return
0,1,TRUE,0.03571428571428581
1,2,DELTA,0.02877697841726623
2,3,KTB,0.023809523809523725
3,4,INTUCH,0.021333333333333426
4,5,GULF,0.013215859030837107
5,6,CCET,0.010152284263959421
6,7,WHA,0.00917431192660545
7,8,CPALL,0.008968609865470878
8,9,SCB,0.008547008547008517
9,10,PTT,0.007874015748031482
10,11,GPSC,0.006756756756756799
11,12,HMPRO,0.005347593582887722
12,13,OSP,0.004854368932038833
13,14,BBL,0.00328947368421062
14,15,LH,0.0
15,16,SCGP,0.0
16,17,KTC,0.0
17,18,TTB,0.0
18,19,TU,0.0
19,20,OR,0.0
20,21,ADVANC,0.0
21,22,BDMS,0.0
22,23,BEM,0.0
23,24,EGCO,0.0
24,25,TISCO,-0.0025380710659898
25,26,CBG,-0.003154574132492094
26,27,KBANK,-0.003225806451612856
27,28,PTTEP,-0.004016064257028162
28,29,CPF,-0.004347826086956608
29,30,BJC,-0.004405286343612258
30,31,BH,-0.0049261083743842304
31,32,MTC,-0.005347593582887722
32,33,GLOBAL,-0.007407407407407418
33,34,AOT,-0.008368200836820106
34,35,RATCH,-0.008474576271186418
35,36,CPN,-0.008849557522123908
36,37,TLI,-0.009259259259259411
37,38,MINT,-0.00952380952380949
38,39,COM7,-0.009708737864077666
39,40,PTTGC,-0.009708737864077666
40,41,BGRIM,-0.01041666666666663
41,42,AWC,-0.011363636363636354
42,43,SCC,-0.011904761904761862
43,44,BTS,-0.016260162601626105
44,45,BANPU,-0.016666666666666607
45,46,ITC,-0.02155172413793105
46,47,IVL,-0.02352941176470591
47,48,SAWAD,-0.024390243902439046
48,49,CRC,-0.03649635036496346
49,50,TOP,-0.0535714285714286
