,no,symbol,return
0,1,DELTA,0.07931034482758625
1,2,TLI,0.05714285714285716
2,3,GULF,0.040000000000000036
3,4,INTUCH,0.039787798408488007
4,5,OSP,0.029268292682926855
5,6,ADVANC,0.017985611510791477
6,7,KBANK,0.009493670886076
7,8,TRUE,0.009009009009008917
8,9,BTS,0.008547008547008739
9,10,SCB,0.008474576271186418
10,11,CRC,0.007407407407407307
11,12,KTC,0.004975124378109541
12,13,KTB,0.004629629629629539
13,14,EGCO,0.004424778761061843
14,15,TISCO,0.002538071065989911
15,16,TU,0.0
16,17,CPALL,-0.004484304932735439
17,18,BEM,-0.007092198581560294
18,19,PTTEP,-0.007968127490039834
19,20,RATCH,-0.008695652173912993
20,21,BBL,-0.009771986970684043
21,22,AOT,-0.012711864406779627
22,23,CPF,-0.013452914798206317
23,24,MTC,-0.01621621621621616
24,25,TTB,-0.016393442622950838
25,26,BDMS,-0.016597510373444035
26,27,BGRIM,-0.017142857142857237
27,28,WHA,-0.01886792452830177
28,29,CPN,-0.022522522522522515
29,30,PTT,-0.0234375
30,31,LH,-0.028112449799196915
31,32,TOP,-0.029126213592232997
32,33,CBG,-0.031847133757961776
33,34,HMPRO,-0.032258064516129115
34,35,BJC,-0.03555555555555556
35,36,BH,-0.0357142857142857
36,37,BANPU,-0.03703703703703709
37,38,GLOBAL,-0.03703703703703709
38,39,COM7,-0.037623762376237546
39,40,SCGP,-0.043243243243243246
40,41,GPSC,-0.04379562043795615
41,42,SCC,-0.04643962848297212
42,43,AWC,-0.04651162790697683
43,44,CCET,-0.04950495049504955
44,45,OR,-0.05645161290322587
45,46,SAWAD,-0.05660377358490565
46,47,PTTGC,-0.061224489795918324
47,48,MINT,-0.06796116504854366
48,49,IVL,-0.08196721311475408
49,50,ITC,-0.2168141592920355
