,no,symbol,return
0,1,DELTA,0.07407407407407418
1,2,CCET,0.03783783783783767
2,3,TRUE,0.03592814371257491
3,4,KBANK,0.019607843137254832
4,5,SCB,0.019230769230769162
5,6,BEM,0.019108280254777066
6,7,BDMS,0.01869158878504673
7,8,INTUCH,0.01379310344827589
8,9,COM7,0.0117647058823529
9,10,TOP,0.00995024875621886
10,11,ADVANC,0.009569377990430672
11,12,CRC,0.008130081300812941
12,13,TU,0.006451612903225712
13,14,EGCO,0.004950495049504955
14,15,BH,0.004184100418409997
15,16,BANPU,0.004132231404958775
16,17,TTB,0.0
17,18,KTB,0.0
18,19,BBL,-0.0036900369003689537
19,20,TISCO,-0.005154639175257714
20,21,SCGP,-0.007462686567164201
21,22,MINT,-0.008333333333333304
22,23,RATCH,-0.0092592592592593
23,24,PTTEP,-0.009868421052631526
24,25,AOT,-0.012345679012345734
25,26,CPN,-0.013274336283185861
26,27,PTT,-0.015503875968992276
27,28,CPF,-0.017857142857142794
28,29,MTC,-0.02285714285714291
29,30,GULF,-0.025000000000000022
30,31,CPALL,-0.02608695652173909
31,32,HMPRO,-0.026881720430107503
32,33,WHA,-0.02752293577981657
33,34,AWC,-0.02824858757062154
34,35,BTS,-0.029535864978903037
35,36,SCC,-0.030172413793103425
36,37,IVL,-0.03414634146341455
37,38,BJC,-0.037209302325581395
38,39,ITC,-0.038297872340425476
39,40,LH,-0.040000000000000036
40,41,OR,-0.041420118343195256
41,42,CBG,-0.042857142857142816
42,43,OSP,-0.0431034482758621
43,44,KTC,-0.0444444444444444
44,45,PTTGC,-0.054263565891472854
45,46,TLI,-0.05590062111801253
46,47,GLOBAL,-0.06211180124223614
47,48,SAWAD,-0.07006369426751591
48,49,GPSC,-0.07514450867052025
49,50,BGRIM,-0.10970464135021085
