,no,symbol,return
0,1,COM7,0.08421052631578951
1,2,BANPU,0.048387096774193505
2,3,CPF,0.0396475770925111
3,4,BJC,0.03883495145631044
4,5,AWC,0.03409090909090917
5,6,TOP,0.03240740740740744
6,7,KBANK,0.031872509960159334
7,8,BBL,0.030303030303030276
8,9,CBG,0.03007518796992481
9,10,KTB,0.029239766081871288
10,11,TTB,0.029069767441860517
11,12,BDMS,0.028846153846153744
12,13,RATCH,0.02777777777777768
13,14,CCET,0.025380710659898442
14,15,CRC,0.024793388429751984
15,16,SAWAD,0.022222222222222143
16,17,ITC,0.02145922746781115
17,18,DELTA,0.020958083832335328
18,19,WHA,0.020408163265306145
19,20,SCB,0.019323671497584627
20,21,MINT,0.01680672268907557
21,22,PTT,0.01538461538461533
22,23,BH,0.012295081967213184
23,24,MTC,0.011560693641618602
24,25,HMPRO,0.011049723756906049
25,26,EGCO,0.009803921568627416
26,27,CPN,0.009009009009008917
27,28,LH,0.008403361344537785
28,29,GPSC,0.006369426751592355
29,30,OR,0.006250000000000089
30,31,GULF,0.006211180124223503
31,32,TRUE,0.005681818181818121
32,33,CPALL,0.004524886877828038
33,34,SCC,0.004424778761061843
34,35,BGRIM,0.0
35,36,TISCO,0.0
36,37,BTS,0.0
37,38,TLI,0.0
38,39,PTTEP,-0.0032679738562091387
39,40,AOT,-0.004405286343612369
40,41,ADVANC,-0.004739336492891044
41,42,BEM,-0.00649350649350644
42,43,TU,-0.006666666666666599
43,44,GLOBAL,-0.006756756756756799
44,45,INTUCH,-0.00694444444444442
45,46,PTTGC,-0.008064516129032251
46,47,OSP,-0.008474576271186529
47,48,IVL,-0.025380710659898442
48,49,SCGP,-0.04477611940298509
49,50,KTC,-0.060975609756097615
