,no,symbol,return
0,1,CCET,0.15441176470588225
1,2,HMPRO,0.058252427184465994
2,3,COM7,0.05140186915887868
3,4,WHA,0.04237288135593231
4,5,TRUE,0.04065040650406493
5,6,CRC,0.03875968992248069
6,7,PTTGC,0.03649635036496357
7,8,TOP,0.03196347031963476
8,9,PTT,0.02941176470588225
9,10,BH,0.025104602510460206
10,11,BEM,0.020689655172413834
11,12,MTC,0.016949152542372836
12,13,BJC,0.01632653061224487
13,14,CPN,0.016000000000000014
14,15,PTTEP,0.013157894736842035
15,16,TU,0.013071895424836555
16,17,AOT,0.0117647058823529
17,18,BGRIM,0.008849557522123908
18,19,SAWAD,0.006329113853549062
19,20,GULF,0.005747126436781658
20,21,KTC,0.005714285714285783
21,22,OR,0.005555555555555536
22,23,BBL,0.003558718861210064
23,24,MINT,0.0
24,25,TLI,0.0
25,26,LH,0.0
26,27,GPSC,0.0
27,28,GLOBAL,0.0
28,29,DELTA,0.0
29,30,SCGP,0.0
30,31,TISCO,-0.002525252525252486
31,32,CPALL,-0.004587155963302725
32,33,AWC,-0.004926108374384119
33,34,KTB,-0.006211180124223725
34,35,IVL,-0.008163265306122436
35,36,RATCH,-0.008196721311475419
36,37,OSP,-0.009569377990430561
37,38,EGCO,-0.014981273408239737
38,39,CPF,-0.015873015873015706
39,40,KBANK,-0.016460905349794275
40,41,BTS,-0.016666666666666607
41,42,INTUCH,-0.01683501683501687
42,43,SCB,-0.01904761904761909
43,44,ITC,-0.020408163265306256
44,45,ADVANC,-0.022831050228310557
45,46,BANPU,-0.02400000000000002
46,47,BDMS,-0.02631578947368418
47,48,SCC,-0.02941176470588236
48,49,TTB,-0.03208556149732622
49,50,CBG,-0.052980132450331174
