,no,symbol,return
0,1,SCGP,0.03200000000000003
1,2,BANPU,0.0265486725663715
2,3,BBL,0.024822695035461084
3,4,HMPRO,0.01869158878504673
4,5,BEM,0.018292682926829285
5,6,KTB,0.017857142857142794
6,7,ITC,0.01449275362318847
7,8,CPALL,0.01333333333333342
8,9,CPF,0.010928961748633892
9,10,BJC,0.00990099009900991
10,11,IVL,0.009803921568627416
11,12,KBANK,0.007968127490039834
12,13,TLI,0.0055248618784529135
13,14,TTB,0.005494505494505475
14,15,SCB,0.004347826086956497
15,16,WHA,0.004149377593360981
16,17,CBG,0.003937007874015741
17,18,TISCO,0.0025062656641603454
18,19,SCC,0.0
19,20,PTTGC,0.0
20,21,TOP,0.0
21,22,AOT,-0.003731343283582045
22,23,EGCO,-0.004347826086956497
23,24,KTC,-0.00540540540540535
24,25,CRC,-0.006802721088435382
25,26,TU,-0.006802721088435382
26,27,PTT,-0.0071428571428571175
27,28,BTS,-0.008064516129032251
28,29,RATCH,-0.008695652173912993
29,30,AWC,-0.008888888888888946
30,31,BGRIM,-0.008928571428571397
31,32,OSP,-0.009803921568627416
32,33,COM7,-0.010471204188481797
33,34,GLOBAL,-0.011834319526627168
34,35,PTTEP,-0.012499999999999956
35,36,DELTA,-0.012944983818770184
36,37,LH,-0.013071895424836666
37,38,INTUCH,-0.014336917562724039
38,39,MINT,-0.014925373134328401
39,40,OR,-0.016129032258064502
40,41,GULF,-0.016949152542372836
41,42,BH,-0.02155172413793105
42,43,CPN,-0.02316602316602312
43,44,ADVANC,-0.024154589371980673
44,45,CCET,-0.024193548387096753
45,46,TRUE,-0.024390243902438935
46,47,BDMS,-0.02631578947368418
47,48,GPSC,-0.03669724770642202
48,49,MTC,-0.04347826086956519
49,50,SAWAD,-0.05202312132700726
