,no,symbol,return
0,1,PTTGC,0.0596026490066226
1,2,ITC,0.0478723404255319
2,3,TRUE,0.04635761589403975
3,4,TOP,0.04424778761061954
4,5,BANPU,0.03571428571428581
5,6,OSP,0.03535353535353525
6,7,IVL,0.03319502074688785
7,8,AWC,0.03157894736842115
8,9,BEM,0.030674846625766916
9,10,PTTEP,0.030201342281879207
10,11,GLOBAL,0.030120481927710774
11,12,BJC,0.030000000000000027
12,13,PTT,0.029629629629629672
13,14,BTS,0.029126213592232997
14,15,SCGP,0.026086956521739202
15,16,KBANK,0.024590163934426146
16,17,MINT,0.023255813953488413
17,18,KTB,0.018987341772152
18,19,AOT,0.01526717557251911
19,20,CRC,0.013986013986013957
20,21,GULF,0.011111111111111072
21,22,SCB,0.008849557522123908
22,23,SAWAD,0.006410256339743681
23,24,OR,0.0055248618784529135
24,25,MTC,0.00540540540540535
25,26,WHA,0.004184100418409997
26,27,SCC,0.0037174721189590088
27,28,INTUCH,0.0
28,29,KTC,0.0
29,30,LH,0.0
30,31,BBL,0.0
31,32,TLI,0.0
32,33,BH,-0.004385964912280715
33,34,TU,-0.00694444444444442
34,35,BDMS,-0.008547008547008517
35,36,CPALL,-0.008810572687224627
36,37,HMPRO,-0.008928571428571397
37,38,TISCO,-0.00990099009900991
38,39,CCET,-0.015037593984962405
39,40,RATCH,-0.017094017094017144
40,41,CPN,-0.019305019305019266
41,42,CPF,-0.021276595744680993
42,43,ADVANC,-0.023696682464455
43,44,COM7,-0.025906735751295318
44,45,CBG,-0.026615969581749055
45,46,TTB,-0.026881720430107503
46,47,EGCO,-0.029166666666666674
47,48,DELTA,-0.032727272727272716
48,49,GPSC,-0.0357142857142857
49,50,BGRIM,-0.042735042735042694
