,no,symbol,return
0,1,IVL,0.05586592178770955
1,2,INTUCH,0.04792332268370614
2,3,SCGP,0.045454545454545414
3,4,COM7,0.04433497536945796
4,5,GULF,0.04419889502762442
5,6,BJC,0.040000000000000036
6,7,GLOBAL,0.03921568627450989
7,8,MTC,0.03896103896103886
8,9,PTTGC,0.03809523809523818
9,10,KTC,0.02580645161290329
10,11,MINT,0.025423728813559254
11,12,SCB,0.02487562189054726
12,13,WHA,0.01980198019801982
13,14,BBL,0.01872659176029967
14,15,CPF,0.017021276595744705
15,16,HMPRO,0.016949152542372836
16,17,PTTEP,0.01379310344827589
17,18,ITC,0.013698630136986356
18,19,DELTA,0.013661202185792254
19,20,ADVANC,0.013392857142857206
20,21,BEM,0.012820512820512997
21,22,TISCO,0.01084010840108407
22,23,BGRIM,0.009090909090909038
23,24,SCC,0.008928571428571397
24,25,CBG,0.007722007722007707
25,26,CRC,0.0
26,27,TU,0.0
27,28,CPALL,0.0
28,29,AOT,0.0
29,30,KBANK,-0.0038910505836575737
30,31,AWC,-0.005291005291005346
31,32,KTB,-0.005586592178770777
32,33,SAWAD,-0.007352941176470562
33,34,PTT,-0.0078125
34,35,BH,-0.0080971659919028
35,36,LH,-0.008849557522124019
36,37,RATCH,-0.009009009009009028
37,38,BDMS,-0.009345794392523366
38,39,GPSC,-0.01273885350318471
39,40,TLI,-0.013513513513513598
40,41,EGCO,-0.014925373134328401
41,42,OSP,-0.0167364016736401
42,43,TTB,-0.017341040462427793
43,44,CPN,-0.017467248908296984
44,45,OR,-0.018750000000000044
45,46,BANPU,-0.023529411764705688
46,47,TRUE,-0.03296703296703285
47,48,TOP,-0.038461538461538436
48,49,CCET,-0.042105263157894646
49,50,BTS,-0.050000000000000155
