,no,symbol,return
0,1,ITC,0.0714285714285714
1,2,CCET,0.06547619047619047
2,3,CPF,0.03139013452914785
3,4,CBG,0.029090909090909056
4,5,BEM,0.018867924528301883
5,6,GLOBAL,0.017857142857142794
6,7,WHA,0.00917431192660545
7,8,BH,0.004065040650406582
8,9,KBANK,0.003731343283582156
9,10,TISCO,0.0025445292620864812
10,11,KTB,0.0
11,12,TU,0.0
12,13,BDMS,0.0
13,14,BBL,0.0
14,15,SCB,0.0
15,16,CPALL,0.0
16,17,OSP,0.0
17,18,ADVANC,-0.004807692307692291
18,19,OR,-0.005524861878453136
19,20,DELTA,-0.0066006600660065695
20,21,LH,-0.007299270072992692
21,22,PTT,-0.007352941176470562
22,23,SCGP,-0.007462686567164201
23,24,AOT,-0.0076045627376425395
24,25,INTUCH,-0.010909090909090868
25,26,TLI,-0.011173184357541888
26,27,SCC,-0.012096774193548376
27,28,PTTGC,-0.013157894736842146
28,29,COM7,-0.015306122448979664
29,30,CRC,-0.01538461538461533
30,31,MTC,-0.016393442622950838
31,32,KTC,-0.017142857142857126
32,33,RATCH,-0.017391304347826098
33,34,BJC,-0.017621145374449254
34,35,SAWAD,-0.01807228915662651
35,36,MINT,-0.023255813953488413
36,37,IVL,-0.02409638554216864
37,38,CPN,-0.024489795918367308
38,39,BTS,-0.024793388429751984
39,40,PTTEP,-0.028391167192429068
40,41,HMPRO,-0.02941176470588225
41,42,GULF,-0.029761904761904767
42,43,TTB,-0.03409090909090917
43,44,AWC,-0.03960396039603964
44,45,BANPU,-0.0431034482758621
45,46,TOP,-0.04784688995215314
46,47,GPSC,-0.05025125628140703
47,48,EGCO,-0.054545454545454564
48,49,TRUE,-0.06432748538011701
49,50,BGRIM,-0.07169811320754715
