,no,symbol,return
0,1,BH,0.015748031496062964
1,2,CRC,0.014814814814814836
2,3,OSP,0.014354066985645897
3,4,TISCO,0.005141388174807249
4,5,CCET,0.0
5,6,BBL,-0.0033333333333332993
6,7,ITC,-0.0046511627906977715
7,8,IVL,-0.009433962264150941
8,9,DELTA,-0.009933774834437137
9,10,SCB,-0.016877637130801704
10,11,CBG,-0.018750000000000044
11,12,BDMS,-0.024896265560165998
12,13,KTC,-0.025906735751295318
13,14,EGCO,-0.028455284552845517
14,15,KBANK,-0.0286624203821656
15,16,SAWAD,-0.030864197530864224
16,17,PTT,-0.03125
17,18,TTB,-0.032258064516129115
18,19,PTTEP,-0.03292181069958844
19,20,BJC,-0.03319502074688796
20,21,BANPU,-0.03389830508474578
21,22,COM7,-0.036036036036036
22,23,TLI,-0.03703703703703709
23,24,GULF,-0.04048582995951422
24,25,HMPRO,-0.041450777202072575
25,26,ADVANC,-0.04195804195804198
26,27,CPF,-0.0423728813559322
27,28,CPN,-0.04385964912280704
28,29,AWC,-0.04469273743016766
29,30,MTC,-0.045454545454545414
30,31,WHA,-0.04587155963302747
31,32,KTB,-0.04672897196261683
32,33,RATCH,-0.04761904761904767
33,34,LH,-0.04854368932038833
34,35,AOT,-0.048979591836734726
35,36,OR,-0.050724637681159535
36,37,INTUCH,-0.057499999999999996
37,38,SCC,-0.057636887608069176
38,39,SCGP,-0.059701492537313605
39,40,TU,-0.06153846153846154
40,41,GLOBAL,-0.06369426751592355
41,42,MINT,-0.06422018348623848
42,43,PTTGC,-0.06995884773662553
43,44,BTS,-0.08196721311475408
44,45,GPSC,-0.09090909090909094
45,46,CPALL,-0.09322033898305082
46,47,BGRIM,-0.09852216748768472
47,48,BEM,-0.09868421052631582
48,49,TRUE,-0.10924369747899165
49,50,TOP,-0.24305555555555558
