,no,symbol,return
0,1,TOP,0.0980392156862746
1,2,TU,0.06557377049180335
2,3,BTS,0.054054054054053946
3,4,PTTGC,0.051948051948051965
4,5,CPN,0.04054054054054057
5,6,BANPU,0.034482758620689724
6,7,SAWAD,0.03144654088050314
7,8,CPF,0.03083700440528636
8,9,MINT,0.029126213592232997
9,10,TLI,0.028846153846153744
10,11,SCGP,0.02590673575129543
11,12,BEM,0.021582733812949506
12,13,HMPRO,0.021164021164021385
13,14,INTUCH,0.020725388601036343
14,15,KTC,0.020618556701030855
15,16,ADVANC,0.01760563380281699
16,17,BJC,0.017391304347825987
17,18,AWC,0.017142857142857126
18,19,PTT,0.016000000000000014
19,20,SCC,0.014925373134328401
20,21,CPALL,0.013513513513513598
21,22,CBG,0.012861736334405238
22,23,BGRIM,0.010471204188481575
23,24,LH,0.010000000000000009
24,25,KBANK,0.009708737864077666
25,26,KTB,0.009569377990430672
26,27,GULF,0.008403361344537785
27,28,BDMS,0.008230452674897082
28,29,OR,0.00746268656716409
29,30,TTB,0.005464480874316946
30,31,MTC,0.0052631578947368585
31,32,PTTEP,0.004237288135593209
32,33,DELTA,0.00328947368421062
33,34,RATCH,0.0
34,35,WHA,0.0
35,36,AOT,0.0
36,37,COM7,0.0
37,38,BH,0.0
38,39,BBL,0.0
39,40,TISCO,-0.0025316455696202667
40,41,EGCO,-0.004184100418409997
41,42,SCB,-0.004255319148936176
42,43,CRC,-0.007092198581560294
43,44,ITC,-0.008968609865470767
44,45,OSP,-0.009345794392523366
45,46,CCET,-0.01015228426395931
46,47,GPSC,-0.012820512820512775
47,48,TRUE,-0.017857142857142794
48,49,GLOBAL,-0.02083333333333337
49,50,IVL,-0.02857142857142858
