,no,symbol,return
0,1,AWC,0.0662983425414363
1,2,BANPU,0.05769230769230771
2,3,BGRIM,0.051162790697674376
3,4,DELTA,0.04985337243401755
4,5,INTUCH,0.04152249134948094
5,6,GLOBAL,0.04026845637583887
6,7,ADVANC,0.03755868544600949
7,8,CRC,0.031746031746031855
8,9,GPSC,0.03125
9,10,GULF,0.030487804878048808
10,11,BEM,0.026315789473684292
11,12,AOT,0.026200873362445476
12,13,WHA,0.01814516129032251
13,14,TRUE,0.016853932584269593
14,15,TTB,0.016853932584269593
15,16,TU,0.013333333333333197
16,17,CPALL,0.01327433628318575
17,18,HMPRO,0.0108108108108107
18,19,IVL,0.01005025125628145
19,20,SCB,0.009478672985782088
20,21,EGCO,0.009478672985782088
21,22,RATCH,0.00877192982456143
22,23,MINT,0.008403361344537785
23,24,SAWAD,0.006849315068493178
24,25,OR,0.0060975609756097615
25,26,BH,0.0
26,27,KTC,0.0
27,28,LH,0.0
28,29,CPN,0.0
29,30,TISCO,-0.0026041666666666297
30,31,BBL,-0.003676470588235281
31,32,CPF,-0.004098360655737654
32,33,BTS,-0.004524886877827927
33,34,TLI,-0.00649350649350644
34,35,CBG,-0.007194244604316502
35,36,PTT,-0.007575757575757569
36,37,COM7,-0.00952380952380949
37,38,KTB,-0.011299435028248594
38,39,OSP,-0.012711864406779738
39,40,KBANK,-0.01538461538461533
40,41,PTTEP,-0.016286644951140072
41,42,SCC,-0.017241379310344862
42,43,BJC,-0.01834862385321112
43,44,BDMS,-0.018867924528301883
44,45,SCGP,-0.023809523809523836
45,46,PTTGC,-0.02400000000000002
46,47,TOP,-0.04054054054054057
47,48,ITC,-0.04526748971193417
48,49,MTC,-0.05681818181818177
49,50,CCET,-0.12389380530973448
