,no,symbol,return
0,1,TRUE,0.06862745098039236
1,2,TU,0.054421768707483054
2,3,TTB,0.04968944099378869
3,4,CCET,0.048387096774193505
4,5,TOP,0.029126213592232997
5,6,PTT,0.02238805970149249
6,7,BH,0.012658227848101333
7,8,BANPU,0.007575757575757791
8,9,GPSC,0.005102040816326481
9,10,ITC,0.0050000000000001155
10,11,SCB,0.004784688995215225
11,12,ADVANC,0.004608294930875667
12,13,GULF,0.0
13,14,PTTEP,-0.0033333333333332993
14,15,DELTA,-0.008849557522123908
15,16,CPN,-0.01526717557251911
16,17,INTUCH,-0.017123287671232834
17,18,BDMS,-0.018018018018018056
18,19,CPALL,-0.0182648401826484
19,20,EGCO,-0.018867924528301883
20,21,KTB,-0.021621621621621512
21,22,OSP,-0.022624434389140302
22,23,MINT,-0.026548672566371723
23,24,TISCO,-0.027363184079602032
24,25,BGRIM,-0.02752293577981646
25,26,AOT,-0.028000000000000025
26,27,KTC,-0.02824858757062143
27,28,SAWAD,-0.030864197730376297
28,29,CBG,-0.031847133757961776
29,30,MTC,-0.03389830508474578
30,31,PTTGC,-0.034965034965035
31,32,COM7,-0.03508771929824561
32,33,BBL,-0.036666666666666625
33,34,OR,-0.0368421052631579
34,35,LH,-0.03797468354430389
35,36,TLI,-0.038461538461538436
36,37,RATCH,-0.03968253968253965
37,38,WHA,-0.04132231404958686
38,39,KBANK,-0.04562737642585546
39,40,BJC,-0.04672897196261683
40,41,SCC,-0.04895104895104896
41,42,BTS,-0.04895104895104907
42,43,CPF,-0.05235602094240832
43,44,GLOBAL,-0.0559006210498052
44,45,BEM,-0.05696202531645567
45,46,SCGP,-0.059259259259259234
46,47,AWC,-0.06341463414634141
47,48,CRC,-0.08441558441558439
48,49,HMPRO,-0.0847457627118644
49,50,IVL,-0.1009523809523809
