,no,symbol,return
0,1,WHA,0.07017543859649122
1,2,DELTA,0.054054054054053946
2,3,TRUE,0.03418803418803429
3,4,MTC,0.028846153846153744
4,5,SAWAD,0.023391812865497075
5,6,BTS,0.021929824561403688
6,7,IVL,0.010000000000000009
7,8,SCB,0.00877192982456143
8,9,BH,0.0072727272727273196
9,10,TU,0.006756756756756799
10,11,KTC,0.005154639175257714
11,12,TISCO,-0.007672634271099765
12,13,TLI,-0.008928571428571397
13,14,COM7,-0.00952380952380949
14,15,ITC,-0.013861386138613874
15,16,KBANK,-0.01666666666666672
16,17,CBG,-0.018750000000000044
17,18,PTTEP,-0.01945525291828798
18,19,PTT,-0.022058823529411797
19,20,KTB,-0.02336448598130836
20,21,BANPU,-0.0234375
21,22,GLOBAL,-0.024539877300613466
22,23,AOT,-0.027559055118110187
23,24,EGCO,-0.028000000000000025
24,25,SCGP,-0.028301886792452824
25,26,CPF,-0.028846153846153855
26,27,RATCH,-0.029629629629629672
27,28,CPN,-0.02985074626865669
28,29,AWC,-0.031914893617021156
29,30,TTB,-0.03260869565217395
30,31,SCC,-0.033175355450236976
31,32,BDMS,-0.03389830508474578
32,33,ADVANC,-0.035211267605633756
33,34,BBL,-0.03583061889250816
34,35,BEM,-0.036363636363636376
35,36,CPALL,-0.03731343283582089
36,37,OR,-0.042424242424242364
37,38,GULF,-0.043636363636363584
38,39,OSP,-0.04672897196261683
39,40,PTTGC,-0.04950495049504955
40,41,MINT,-0.05217391304347829
41,42,CRC,-0.052238805970149294
42,43,TOP,-0.053763440860215006
43,44,BGRIM,-0.054621848739495826
44,45,BJC,-0.057425742574257366
45,46,INTUCH,-0.0580357142857143
46,47,CCET,-0.06422018348623859
47,48,LH,-0.06504065040650409
48,49,GPSC,-0.07446808510638303
49,50,HMPRO,-0.08173076923076916
