,no,symbol,return
0,1,IVL,0.05803571428571441
1,2,CRC,0.044117647058823595
2,3,GLOBAL,0.024539877300613355
3,4,AOT,0.015503875968992276
4,5,TOP,0.013636363636363669
5,6,KTB,0.012499999999999956
6,7,KTC,0.011560693641618602
7,8,WHA,0.008810572687224738
8,9,LH,0.006711409395973034
9,10,TLI,0.005813953488372103
10,11,CPF,0.005434782608695787
11,12,ADVANC,0.004878048780487809
12,13,KBANK,0.004065040650406582
13,14,MINT,0.0
14,15,BGRIM,0.0
15,16,BBL,0.0
16,17,PTTGC,0.0
17,18,BTS,0.0
18,19,TISCO,0.0
19,20,SCC,0.0
20,21,HMPRO,0.0
21,22,OR,-0.005494505494505364
22,23,BEM,-0.006172839506172756
23,24,INTUCH,-0.007194244604316502
24,25,GPSC,-0.009569377990430672
25,26,TTB,-0.010695187165775444
26,27,MTC,-0.010810810810810811
27,28,CPN,-0.011194029850746245
28,29,BJC,-0.012345679012345734
29,30,RATCH,-0.017094017094017144
30,31,CPALL,-0.017094017094017144
31,32,SCB,-0.017621145374449365
32,33,PTTEP,-0.019607843137254943
33,34,ITC,-0.0267379679144385
34,35,TU,-0.02758620689655178
35,36,AWC,-0.030612244897959218
36,37,COM7,-0.033653846153846145
37,38,BH,-0.03418803418803418
38,39,TRUE,-0.03472222222222221
39,40,GULF,-0.0393258426966292
40,41,CBG,-0.04195804195804198
41,42,BDMS,-0.042735042735042694
42,43,BANPU,-0.04424778761061943
43,44,PTT,-0.04895104895104896
44,45,SCGP,-0.05128205128205132
45,46,OSP,-0.054187192118226646
46,47,SAWAD,-0.07407407406401467
47,48,DELTA,-0.07796610169491525
48,49,EGCO,-0.08914728682170547
49,50,CCET,-0.17333333333333334
