,no,symbol,return
0,1,PTTEP,0.04938271604938271
1,2,TTB,0.04761904761904767
2,3,TU,0.034482758620689724
3,4,ITC,0.030303030303030276
4,5,MINT,0.030042918454935563
5,6,AWC,0.025974025974025983
6,7,PTT,0.024390243902439046
7,8,BH,0.019830028328611915
8,9,BJC,0.013636363636363669
9,10,KBANK,0.009433962264151052
10,11,OR,0.008695652173912993
11,12,SCB,0.008064516129032251
12,13,TISCO,0.0075949367088608
13,14,MTC,0.005747126436781658
14,15,BDMS,0.004273504273504258
15,16,BBL,0.0
16,17,CPN,0.0
17,18,SCC,-0.003236245954692518
18,19,LH,-0.0043290043290044045
19,20,AOT,-0.0045045045045044585
20,21,BEM,-0.007352941176470562
21,22,BTS,-0.008064516129032251
22,23,TRUE,-0.008474576271186529
23,24,KTB,-0.008658008658008809
24,25,RATCH,-0.008695652173912993
25,26,KTC,-0.009756097560975618
26,27,ADVANC,-0.010452961672473893
27,28,SCGP,-0.0119760479041916
28,29,WHA,-0.016528925619834767
29,30,BGRIM,-0.01935483870967747
30,31,INTUCH,-0.02015113350125941
31,32,EGCO,-0.021929824561403466
32,33,HMPRO,-0.022346368715083775
33,34,CRC,-0.029197080291970767
34,35,GULF,-0.02941176470588236
35,36,PTTGC,-0.03153153153153154
36,37,TLI,-0.03669724770642202
37,38,TOP,-0.03703703703703709
38,39,SAWAD,-0.038961038961038974
39,40,GPSC,-0.0390625
40,41,COM7,-0.0393013100436681
41,42,CPF,-0.04347826086956519
42,43,IVL,-0.045643153526971014
43,44,BANPU,-0.06542056074766345
44,45,CPALL,-0.06726457399103136
45,46,DELTA,-0.08695652173913049
46,47,CCET,-0.09467455621301768
47,48,CBG,-0.10759493670886078
48,49,GLOBAL,-0.13793103448275856
49,50,OSP,-0.20975609756097569
