,no,symbol,return
0,1,DELTA,0.08661417322834652
1,2,COM7,0.06730769230769229
2,3,PTTGC,0.04950495049504955
3,4,OSP,0.02941176470588247
4,5,AWC,0.027472527472527597
5,6,GLOBAL,0.025641025641025772
6,7,TRUE,0.025210084033613356
7,8,SCC,0.02450980392156854
8,9,CCET,0.0183486238532109
9,10,TLI,0.018181818181818077
10,11,RATCH,0.015503875968992276
11,12,PTTEP,0.01200000000000001
12,13,GULF,0.011494252873563315
13,14,MINT,0.0092592592592593
14,15,WHA,0.008547008547008739
15,16,BTS,0.008163265306122547
16,17,CRC,0.008064516129032251
17,18,BANPU,0.008000000000000007
18,19,HMPRO,0.0052631578947368585
19,20,ADVANC,0.0036900369003689537
20,21,CBG,0.003154574132492094
21,22,TU,0.0
22,23,CPF,0.0
23,24,INTUCH,0.0
24,25,AOT,0.0
25,26,TTB,0.0
26,27,TOP,0.0
27,28,BEM,0.0
28,29,LH,0.0
29,30,TISCO,-0.002577319587628857
30,31,ITC,-0.0040000000000000036
31,32,EGCO,-0.004166666666666652
32,33,BGRIM,-0.004484304932735439
33,34,KTB,-0.009569377990430561
34,35,IVL,-0.009615384615384581
35,36,CPALL,-0.011673151750972721
36,37,BJC,-0.012500000000000067
37,38,KBANK,-0.01342281879194629
38,39,PTT,-0.014598540145985384
39,40,CPN,-0.015625
40,41,BDMS,-0.017699115044247815
41,42,KTC,-0.020618556701030966
42,43,SCB,-0.021739130434782594
43,44,BH,-0.021818181818181848
44,45,SCGP,-0.02857142857142858
45,46,BBL,-0.029900332225913595
46,47,OR,-0.03144654088050314
47,48,SAWAD,-0.04022988505747127
48,49,MTC,-0.0430622009569378
49,50,GPSC,-0.04519774011299438
