,no,symbol,return
0,1,TRUE,0.09022556390977443
1,2,SCB,0.08695652173913038
2,3,BDMS,0.0535714285714286
3,4,CPALL,0.040909090909091006
4,5,KBANK,0.03765690376569042
5,6,CPF,0.033707865168539186
6,7,MINT,0.03252032520325199
7,8,KTB,0.03164556962025311
8,9,GULF,0.02857142857142847
9,10,MTC,0.02824858757062154
10,11,GLOBAL,0.027160997415031085
11,12,SCC,0.026515151515151603
12,13,PTTEP,0.023255813953488413
13,14,CPN,0.02316602316602312
14,15,TLI,0.02298850574712663
15,16,CRC,0.022058823529411686
16,17,AWC,0.02051282051282044
17,18,AOT,0.01976284584980248
18,19,EGCO,0.01945525291828787
19,20,BEM,0.019354838709677358
20,21,SAWAD,0.018633540442266838
21,22,GPSC,0.014354066985645897
22,23,BBL,0.014234875444839812
23,24,LH,0.01342281879194629
24,25,PTTGC,0.01333333333333342
25,26,IVL,0.012711864406779627
26,27,KTC,0.011627906976744207
27,28,BJC,0.010000000000000009
28,29,HMPRO,0.00917431192660545
29,30,TISCO,0.007556675062972307
30,31,PTT,0.006993006993007089
31,32,RATCH,0.0
32,33,TTB,0.0
33,34,ITC,-0.005208333333333259
34,35,CBG,-0.010344827586206917
35,36,OR,-0.010752688172043112
36,37,TOP,-0.012765957446808529
37,38,OSP,-0.014218009478673022
38,39,ADVANC,-0.014354066985645897
39,40,BANPU,-0.025210084033613467
40,41,BTS,-0.02678571428571419
41,42,BH,-0.03292181069958844
42,43,WHA,-0.03292181069958855
43,44,SCGP,-0.04065040650406504
44,45,COM7,-0.045662100456621
45,46,INTUCH,-0.05084745762711862
46,47,DELTA,-0.054487179487179516
47,48,BGRIM,-0.06034482758620685
48,49,TU,-0.06329113924050633
49,50,CCET,-0.12
