,no,symbol,return
0,1,BGRIM,0.08571428571428563
1,2,GPSC,0.08374384236453203
2,3,TRUE,0.0714285714285714
3,4,GULF,0.06547619047619047
4,5,ITC,0.05555555555555558
5,6,SAWAD,0.054054054054053946
6,7,WHA,0.05263157894736836
7,8,BJC,0.05208333333333326
8,9,DELTA,0.04850746268656714
9,10,CCET,0.046875
10,11,BANPU,0.04629629629629628
11,12,BDMS,0.04504504504504503
12,13,CBG,0.039682539682539764
13,14,TLI,0.03910614525139677
14,15,OSP,0.03684210526315779
15,16,SCGP,0.03669724770642202
16,17,EGCO,0.029914529914529808
17,18,AOT,0.027027027027026973
18,19,AWC,0.026737967914438387
19,20,CPALL,0.026666666666666616
20,21,IVL,0.025641025641025772
21,22,MINT,0.0234375
22,23,TU,0.021276595744680993
23,24,CRC,0.021126760563380254
24,25,HMPRO,0.018181818181818077
25,26,CPF,0.016666666666666607
26,27,MTC,0.016304347826086918
27,28,TISCO,0.014999999999999902
28,29,INTUCH,0.01449275362318847
29,30,ADVANC,0.014423076923076872
30,31,PTTGC,0.01342281879194629
31,32,BTS,0.00990099009900991
32,33,SCB,0.008888888888888946
33,34,RATCH,0.008695652173912993
34,35,BEM,0.006211180124223503
35,36,KTC,0.005681818181818121
36,37,BH,0.004366812227074135
37,38,TOP,0.004366812227074135
38,39,CPN,0.003831417624521105
39,40,PTTEP,0.00328947368421062
40,41,GLOBAL,0.0
41,42,KBANK,-0.0040322580645161255
42,43,TTB,-0.005347593582887722
43,44,OR,-0.005524861878453136
44,45,PTT,-0.007299270072992692
45,46,SCC,-0.0073800738007380184
46,47,BBL,-0.010452961672473893
47,48,KTB,-0.018404907975460127
48,49,COM7,-0.025125628140703515
49,50,LH,-0.03355704697986572
