,no,symbol,return
0,1,CCET,0.1506024096385543
1,2,IVL,0.05882352941176472
2,3,BANPU,0.03508771929824572
3,4,BTS,0.03508771929824572
4,5,BEM,0.03401360544217691
5,6,SAWAD,0.02515723270440251
6,7,KTC,0.020942408376963373
7,8,SCGP,0.019704433497536922
8,9,MTC,0.015228426395939021
9,10,AOT,0.012396694214876103
10,11,TTB,0.010928961748633892
11,12,HMPRO,0.010362694300518172
12,13,KBANK,0.009584664536741228
13,14,GLOBAL,0.0064102564102563875
14,15,CPF,0.004184100418409997
15,16,TISCO,0.0025706940874035134
16,17,MINT,0.0
17,18,SCB,0.0
18,19,TRUE,0.0
19,20,CPALL,-0.003984063745019917
20,21,PTTGC,-0.004016064257028051
21,22,DELTA,-0.006557377049180357
22,23,OR,-0.007194244604316502
23,24,PTT,-0.0078125
24,25,COM7,-0.00917431192660545
25,26,KTB,-0.009302325581395321
26,27,ITC,-0.013761467889908285
27,28,CRC,-0.014705882352941124
28,29,BJC,-0.016393442622950727
29,30,CBG,-0.018461538461538418
30,31,OSP,-0.0185185185185186
31,32,BBL,-0.019607843137254943
32,33,INTUCH,-0.022167487684729092
33,34,RATCH,-0.023255813953488413
34,35,ADVANC,-0.027118644067796627
35,36,TLI,-0.027272727272727337
36,37,SCC,-0.027932960893854775
37,38,EGCO,-0.028000000000000025
38,39,BDMS,-0.02970297029702973
39,40,AWC,-0.032432432432432434
40,41,PTTEP,-0.035573122529644285
41,42,TU,-0.03731343283582089
42,43,CPN,-0.03765690376569042
43,44,BH,-0.044554455445544594
44,45,GPSC,-0.04519774011299438
45,46,TOP,-0.046052631578947345
46,47,GULF,-0.046692607003890996
47,48,BGRIM,-0.05069124423963123
48,49,WHA,-0.05217391304347818
49,50,LH,-0.05555555555555569
