,no,symbol,return
0,1,ITC,0.06280193236714982
1,2,GULF,0.061224489795918435
2,3,INTUCH,0.05398457583547556
3,4,CBG,0.03896103896103886
4,5,BTS,0.03603603603603611
5,6,KTB,0.03499999999999992
6,7,TTB,0.033898305084745894
7,8,TOP,0.03333333333333344
8,9,ADVANC,0.03146853146853146
9,10,KBANK,0.02970297029702973
10,11,BGRIM,0.02843601895734582
11,12,KTC,0.02673796791443861
12,13,EGCO,0.024691358024691468
13,14,SCB,0.02164502164502169
14,15,MINT,0.0185185185185186
15,16,TRUE,0.017241379310344973
16,17,BBL,0.01672240802675584
17,18,AWC,0.016483516483516425
18,19,PTTEP,0.015873015873015817
19,20,RATCH,0.015748031496062964
20,21,CPALL,0.012048192771084265
21,22,GPSC,0.011299435028248483
22,23,BDMS,0.00990099009900991
23,24,LH,0.0092592592592593
24,25,CPF,0.008368200836820217
25,26,SCC,0.008241758241758212
26,27,BEM,0.006756756756756799
27,28,HMPRO,0.005181347150258864
28,29,BH,0.004784688995215225
29,30,BJC,0.004149377593360981
30,31,IVL,0.0
31,32,PTTGC,0.0
32,33,COM7,0.0
33,34,BANPU,0.0
34,35,TISCO,0.0
35,36,CPN,0.0
36,37,WHA,0.0
37,38,PTT,0.0
38,39,OSP,0.0
39,40,OR,0.0
40,41,MTC,0.0
41,42,CRC,-0.007299270072992692
42,43,DELTA,-0.009868421052631526
43,44,AOT,-0.012145748987854255
44,45,TU,-0.014598540145985384
45,46,CCET,-0.01744186046511631
46,47,GLOBAL,-0.024844720496894568
47,48,SAWAD,-0.030487804878048808
48,49,TLI,-0.03539823008849563
49,50,SCGP,-0.051401869158878455
