,no,symbol,return
0,1,HMPRO,0.18232044198895014
1,2,TLI,0.15231788079470188
2,3,SCGP,0.15145228215767625
3,4,BGRIM,0.14851485148514842
4,5,CRC,0.14655172413793105
5,6,BTS,0.14563106796116498
6,7,OR,0.14000000000000012
7,8,IVL,0.1304347826086958
8,9,PTTGC,0.1200000000000001
9,10,BH,0.11934156378600824
10,11,CPN,0.11764705882352944
11,12,EGCO,0.11682242990654212
12,13,MTC,0.11494252873563227
13,14,AWC,0.10778443113772473
14,15,KTB,0.10382513661202175
15,16,GPSC,0.10365853658536595
16,17,GULF,0.09852216748768483
17,18,INTUCH,0.09696969696969693
18,19,ADVANC,0.0934959349593496
19,20,SCC,0.09210526315789469
20,21,OSP,0.0861244019138756
21,22,BANPU,0.08108108108108114
22,23,LH,0.0803571428571428
23,24,BJC,0.08000000000000007
24,25,SAWAD,0.08000000000000007
25,26,BBL,0.07885304659498216
26,27,CPALL,0.07851239669421495
27,28,KBANK,0.07773851590106018
28,29,TTB,0.07692307692307687
29,30,CBG,0.06593406593406592
30,31,KTC,0.06586826347305386
31,32,SCB,0.06572769953051649
32,33,COM7,0.05967078189300401
33,34,RATCH,0.05785123966942152
34,35,GLOBAL,0.05517241379310356
35,36,AOT,0.054166666666666696
36,37,MINT,0.04629629629629628
37,38,PTT,0.04511278195488733
38,39,BDMS,0.04504504504504503
39,40,TISCO,0.03937007874015741
40,41,TRUE,0.03883495145631044
41,42,WHA,0.03809523809523818
42,43,BEM,0.03289473684210531
43,44,PTTEP,0.010714285714285676
44,45,TOP,0.0092592592592593
45,46,ITC,-0.010000000000000009
46,47,CPF,-0.016064257028112428
47,48,TU,-0.019230769230769162
48,49,DELTA,-0.05164319248826288
49,50,CCET,-0.07253886010362687
