,no,symbol,return
0,1,ITC,0.1261682242990656
1,2,INTUCH,0.05135135135135127
2,3,CCET,0.043010752688172005
3,4,PTTEP,0.041984732824427384
4,5,GULF,0.03508771929824572
5,6,CRC,0.032258064516129004
6,7,ADVANC,0.026923076923076827
7,8,CPF,0.02083333333333326
8,9,SCGP,0.01724137931034475
9,10,DELTA,0.014018691588784993
10,11,TU,0.013698630136986356
11,12,GLOBAL,0.012578616352201255
12,13,BBL,0.009966777408637828
13,14,HMPRO,0.009615384615384581
14,15,WHA,0.00917431192660545
15,16,SCB,0.00917431192660545
16,17,MINT,0.008849557522123908
17,18,BJC,0.00809716599190291
18,19,TISCO,0.007772020725388629
19,20,KTB,0.004854368932038833
20,21,COM7,0.004184100418409997
21,22,SCC,0.004149377593360981
22,23,PTT,0.0
23,24,RATCH,0.0
24,25,AOT,0.0
25,26,CBG,0.0
26,27,BEM,0.0
27,28,KBANK,-0.0033333333333332993
28,29,BTS,-0.004444444444444362
29,30,TOP,-0.004878048780487809
30,31,CPN,-0.007462686567164201
31,32,EGCO,-0.012145748987854255
32,33,TTB,-0.015228426395939132
33,34,BDMS,-0.01666666666666672
34,35,TRUE,-0.017857142857142794
35,36,BH,-0.018587360594795488
36,37,KTC,-0.02051282051282055
37,38,GPSC,-0.02083333333333337
38,39,AWC,-0.021164021164021052
39,40,CPALL,-0.022900763358778664
40,41,MTC,-0.025252525252525304
41,42,PTTGC,-0.033333333333333326
42,43,BANPU,-0.03546099290780147
43,44,IVL,-0.03643724696356265
44,45,OSP,-0.038961038961039085
45,46,SAWAD,-0.040462427745664775
46,47,OR,-0.045454545454545525
47,48,BGRIM,-0.04999999999999993
48,49,LH,-0.05468750000000011
49,50,TLI,-0.05555555555555569
