,no,symbol,return
0,1,BH,0.10222222222222221
1,2,ITC,0.08333333333333348
2,3,DELTA,0.06115107913669071
3,4,OSP,0.049261083743842304
4,5,WHA,0.04721030042918439
5,6,BTS,0.04166666666666674
6,7,KBANK,0.040322580645161255
7,8,MINT,0.03937007874015741
8,9,TU,0.03546099290780136
9,10,MTC,0.03428571428571425
10,11,BDMS,0.026548672566371723
11,12,CPALL,0.022522522522522515
12,13,CPF,0.021978021978022122
13,14,SCB,0.019138755980861344
14,15,RATCH,0.018181818181818077
15,16,SCC,0.01632653061224487
16,17,SAWAD,0.01257861621296641
17,18,TTB,0.011299435028248705
18,19,COM7,0.011173184357541999
19,20,BGRIM,0.009803921568627416
20,21,EGCO,0.009090909090909038
21,22,SCGP,0.0078125
22,23,CRC,0.007407407407407307
23,24,LH,0.006849315068493178
24,25,TLI,0.00561797752808979
25,26,OR,0.005555555555555536
26,27,IVL,0.0
27,28,KTC,0.0
28,29,TRUE,0.0
29,30,PTT,0.0
30,31,CPN,-0.004016064257028162
31,32,KTB,-0.006024096385542244
32,33,BEM,-0.00613496932515345
33,34,PTTEP,-0.006349206349206327
34,35,INTUCH,-0.0074906367041198685
35,36,BJC,-0.008000000000000007
36,37,CCET,-0.00877192982456143
37,38,HMPRO,-0.009708737864077777
38,39,GPSC,-0.010362694300518172
39,40,CBG,-0.011406844106463865
40,41,ADVANC,-0.012658227848101222
41,42,AOT,-0.01538461538461533
42,43,TOP,-0.017467248908296984
43,44,AWC,-0.017937219730941756
44,45,BANPU,-0.0185185185185186
45,46,GLOBAL,-0.018750000000000044
46,47,PTTGC,-0.019867549668874163
47,48,GULF,-0.024390243902439046
48,49,TISCO,-0.03015075376884424
49,50,BBL,-0.04225352112676062
