,no,symbol,return
0,1,OSP,0.05555555555555558
1,2,KTC,0.051724137931034475
2,3,ITC,0.050000000000000044
3,4,KTB,0.0117647058823529
4,5,TRUE,0.0117647058823529
5,6,RATCH,0.008849557522123908
6,7,TU,0.006756756756756799
7,8,SAWAD,0.0060606060606061
8,9,OR,0.005555555555555536
9,10,TOP,0.004854368932038833
10,11,BJC,-0.004484304932735439
11,12,EGCO,-0.004784688995215336
12,13,TISCO,-0.0050890585241730735
13,14,INTUCH,-0.0073800738007380184
14,15,SCGP,-0.007462686567164201
15,16,AOT,-0.007633587786259555
16,17,CPF,-0.008695652173912993
17,18,WHA,-0.009090909090909038
18,19,SCB,-0.009345794392523366
19,20,TTB,-0.011695906432748537
20,21,PTTEP,-0.012820512820512775
21,22,CBG,-0.01403508771929829
22,23,DELTA,-0.01666666666666672
23,24,CPALL,-0.017094017094017144
24,25,ADVANC,-0.019323671497584516
25,26,AWC,-0.020618556701030966
26,27,PTT,-0.02238805970149249
27,28,KBANK,-0.02238805970149249
28,29,TLI,-0.022471910112359716
29,30,GLOBAL,-0.0235294117647058
30,31,BGRIM,-0.02352941176470591
31,32,MINT,-0.023809523809523836
32,33,GULF,-0.02409638554216864
33,34,BBL,-0.025000000000000022
34,35,CCET,-0.02717391304347827
35,36,MTC,-0.02732240437158473
36,37,BH,-0.028112449799196804
37,38,SCC,-0.028806584362139898
38,39,LH,-0.02941176470588236
39,40,GPSC,-0.030927835051546393
40,41,COM7,-0.032786885245901676
41,42,BANPU,-0.03571428571428559
42,43,BEM,-0.036809815950920366
43,44,CPN,-0.04184100418410042
44,45,IVL,-0.04938271604938271
45,46,BDMS,-0.052631578947368474
46,47,CRC,-0.054263565891472854
47,48,HMPRO,-0.055837563451776595
48,49,PTTGC,-0.07333333333333336
49,50,BTS,-0.18644067796610175
