,no,symbol,return
0,1,BTS,0.09821428571428581
1,2,GPSC,0.06557377049180335
2,3,PTTGC,0.0616113744075828
3,4,CCET,0.059523809523809534
4,5,SAWAD,0.054421768707483054
5,6,BGRIM,0.05369127516778516
6,7,CBG,0.04950495049504955
7,8,DELTA,0.0462633451957295
8,9,RATCH,0.044642857142857206
9,10,BANPU,0.03921568627450989
10,11,KTB,0.03196347031963476
11,12,AWC,0.026315789473684292
12,13,GULF,0.021097046413502074
13,14,MTC,0.01754385964912286
14,15,KTC,0.014778325123152802
15,16,CPN,0.014218009478673022
16,17,ADVANC,0.014134275618374659
17,18,EGCO,0.013215859030837107
18,19,IVL,0.012820512820512775
19,20,SCB,0.012345679012345734
20,21,TTB,0.010810810810810922
21,22,BBL,0.009933774834437026
22,23,TOP,0.009345794392523255
23,24,BDMS,0.008547008547008739
24,25,SCC,0.006451612903225712
25,26,MINT,0.004201680672268893
26,27,LH,0.004184100418409997
27,28,WHA,0.004098360655737876
28,29,HMPRO,0.0
29,30,BEM,0.0
30,31,PTT,0.0
31,32,CPF,0.0
32,33,TISCO,-0.0025316455696202667
33,34,INTUCH,-0.0050000000000000044
34,35,CRC,-0.007246376811594235
35,36,TRUE,-0.008403361344537785
36,37,COM7,-0.008695652173912993
37,38,BJC,-0.008968609865470767
38,39,TLI,-0.009090909090909038
39,40,KBANK,-0.009375000000000022
40,41,CPALL,-0.013333333333333308
41,42,OR,-0.016949152542372947
42,43,ITC,-0.01754385964912286
43,44,AOT,-0.021739130434782594
44,45,SCGP,-0.023391812865497186
45,46,OSP,-0.02358490566037741
46,47,BH,-0.023622047244094446
47,48,PTTEP,-0.031620553359683834
48,49,TU,-0.033333333333333326
49,50,GLOBAL,-0.07086614173228334
