,no,symbol,return
0,1,CCET,0.1785714285714286
1,2,GULF,0.08823529411764697
2,3,COM7,0.08786610878661105
3,4,TLI,0.08737864077669899
4,5,DELTA,0.07834101382488479
5,6,KTB,0.04347826086956541
6,7,INTUCH,0.04020100502512558
7,8,ADVANC,0.03345724907063197
8,9,CRC,0.03053435114503822
9,10,KBANK,0.026666666666666616
10,11,BGRIM,0.026200873362445476
11,12,MTC,0.025125628140703515
12,13,EGCO,0.024793388429751984
13,14,AWC,0.021857923497267784
14,15,BBL,0.019607843137254832
15,16,CPN,0.018796992481203034
16,17,BTS,0.013274336283185972
17,18,BH,0.011194029850746245
18,19,GPSC,0.010638297872340496
19,20,TRUE,0.009009009009008917
20,21,RATCH,0.007692307692307665
21,22,PTT,0.007352941176470562
22,23,TU,0.006802721088435382
23,24,TTB,0.005319148936170137
24,25,CPALL,0.0038461538461538325
25,26,TISCO,0.0025839793281654533
26,27,SAWAD,0.0
27,28,KTC,0.0
28,29,WHA,0.0
29,30,CPF,0.0
30,31,AOT,0.0
31,32,SCB,-0.004524886877828038
32,33,BEM,-0.0060606060606061
33,34,PTTEP,-0.007352941176470562
34,35,MINT,-0.008620689655172376
35,36,IVL,-0.012500000000000067
36,37,OSP,-0.013274336283185861
37,38,LH,-0.016260162601626105
38,39,OR,-0.017751479289940697
39,40,BJC,-0.017821782178217838
40,41,HMPRO,-0.01869158878504662
41,42,CBG,-0.018808777429467072
42,43,BANPU,-0.021739130434782705
43,44,ITC,-0.02857142857142858
44,45,GLOBAL,-0.029761904761904767
45,46,BDMS,-0.03361344537815125
46,47,TOP,-0.03398058252427183
47,48,SCGP,-0.07627118644067798
48,49,PTTGC,-0.07758620689655171
49,50,SCC,-0.08536585365853655
