,no,symbol,return
0,1,TRUE,0.11214953271028039
1,2,CCET,0.09090909090909083
2,3,MINT,0.06363636363636371
3,4,BGRIM,0.05769230769230771
4,5,GPSC,0.041884816753926746
5,6,CPF,0.033898305084745894
6,7,IVL,0.025531914893617058
7,8,MTC,0.024539877300613577
8,9,WHA,0.021929824561403688
9,10,EGCO,0.019379844961240345
10,11,KTC,0.01744186046511631
11,12,RATCH,0.016666666666666607
12,13,BANPU,0.015503875968992276
13,14,CRC,0.014598540145985384
14,15,TOP,0.014285714285714235
15,16,INTUCH,0.013937282229965264
16,17,LH,0.013333333333333197
17,18,TISCO,0.01285347043701801
18,19,KBANK,0.012448132780082943
19,20,TLI,0.011695906432748426
20,21,PTTGC,0.007299270072992803
21,22,CBG,0.006779661016949046
22,23,OR,0.0055248618784529135
23,24,SCB,0.004761904761904745
24,25,PTTEP,0.0033670033670034627
25,26,PTT,0.0
26,27,SAWAD,0.0
27,28,ADVANC,0.0
28,29,AWC,0.0
29,30,BEM,0.0
30,31,CPN,-0.0038461538461538325
31,32,KTB,-0.006172839506172756
32,33,GLOBAL,-0.006622516624709585
33,34,SCC,-0.0073800738007380184
34,35,SCGP,-0.007874015748031482
35,36,AOT,-0.008333333333333304
36,37,BDMS,-0.009090909090909038
37,38,OSP,-0.009345794392523366
38,39,HMPRO,-0.009433962264150941
39,40,CPALL,-0.00952380952380949
40,41,TTB,-0.011111111111111072
41,42,BH,-0.012396694214875992
42,43,TU,-0.012987012987013102
43,44,COM7,-0.01388888888888895
44,45,BTS,-0.014705882352941124
45,46,GULF,-0.022471910112359605
46,47,DELTA,-0.02670623145400597
47,48,BBL,-0.03114186851211076
48,49,BJC,-0.06400000000000006
49,50,ITC,-0.08415841584158412
