,no,symbol,return
0,1,CCET,0.26717557251908386
1,2,CPF,0.09223300970873782
2,3,SAWAD,0.08496732026143783
3,4,DELTA,0.08480565371024729
4,5,SCGP,0.07200000000000006
5,6,GLOBAL,0.04347826086956519
6,7,PTTGC,0.04137931034482767
7,8,CRC,0.040000000000000036
8,9,IVL,0.028806584362139898
9,10,GULF,0.024390243902439046
10,11,TRUE,0.023391812865497075
11,12,GPSC,0.020304568527918843
12,13,BGRIM,0.01904761904761898
13,14,OSP,0.018957345971563955
14,15,WHA,0.018867924528301883
15,16,RATCH,0.017699115044247815
16,17,ADVANC,0.014634146341463428
17,18,TISCO,0.012886597938144284
18,19,SCC,0.012096774193548487
19,20,HMPRO,0.00990099009900991
20,21,ITC,0.00952380952380949
21,22,BTS,0.008264462809917328
22,23,KBANK,0.007518796992481258
23,24,TU,0.00657894736842124
24,25,PTTEP,0.006493506493506551
25,26,AOT,0.0037453183520599342
26,27,BDMS,0.0
27,28,SCB,0.0
28,29,BANPU,0.0
29,30,KTB,0.0
30,31,INTUCH,0.0
31,32,TTB,0.0
32,33,PTT,0.0
33,34,BBL,-0.0035842293906810374
34,35,KTC,-0.005714285714285672
35,36,MINT,-0.007518796992481258
36,37,CPN,-0.007905138339920903
37,38,TOP,-0.009478672985781977
38,39,OR,-0.010928961748633892
39,40,EGCO,-0.013513513513513487
40,41,MTC,-0.015873015873015928
41,42,BEM,-0.024390243902438935
42,43,CPALL,-0.024793388429752095
43,44,COM7,-0.02564102564102566
44,45,BH,-0.03100775193798455
45,46,CBG,-0.03157894736842104
46,47,LH,-0.03546099290780147
47,48,AWC,-0.04694835680751175
48,49,TLI,-0.052631578947368474
49,50,BJC,-0.08910891089108908
